date,amount,transaction_type,revenue,expenses,flag,reason,severity,flagged,prev_amount,prev_date,time_diff
2025-02-15,656.34,Online Purchase,0.0,656.34,0,Legitimate Transaction,Low,1,,,
2025-01-09,3370.49,Cash Withdrawal,0.0,3370.49,0,Legitimate Transaction,Low,0,656.34,2025-02-15,-888.0
2025-01-17,1263.93,Cash Withdrawal,0.0,1263.93,0,Legitimate Transaction,Low,0,3370.49,2025-01-09,192.0
2025-01-26,832.81,Transfer,832.81,0.0,0,Legitimate Transaction,Low,1,1263.93,2025-01-17,216.0
2025-01-12,716.34,Online Purchase,716.34,0.0,0,Legitimate Transaction,Low,1,832.81,2025-01-26,-336.0
2025-02-09,2838.65,Bill Payment,0.0,2838.65,0,Legitimate Transaction,Low,1,716.34,2025-01-12,672.0
2025-02-06,4756.75,Bill Payment,4756.75,0.0,0,Legitimate Transaction,Low,0,2838.65,2025-02-09,-72.0
2025-01-10,4642.73,Cash Withdrawal,0.0,4642.73,0,Legitimate Transaction,Low,0,4756.75,2025-02-06,-648.0
2025-03-03,1566.57,POS Purchase,0.0,1566.57,0,Legitimate Transaction,Low,0,4642.73,2025-01-10,1248.0
2025-02-25,1828.57,Transfer,1828.57,0.0,0,Legitimate Transaction,Low,0,1566.57,2025-03-03,-144.0
2025-01-06,1090.95,POS Purchase,0.0,1090.95,0,Legitimate Transaction,Low,0,1828.57,2025-02-25,-1200.0
2025-03-05,4007.99,POS Purchase,4007.99,0.0,0,Legitimate Transaction,Low,0,1090.95,2025-01-06,1392.0
2025-03-27,3159.81,Cash Withdrawal,0.0,3159.81,0,Legitimate Transaction,Low,0,4007.99,2025-03-05,528.0
2025-03-04,3359.42,Cash Withdrawal,3359.42,0.0,0,Legitimate Transaction,Low,0,3159.81,2025-03-27,-552.0
2025-03-31,4249.44,Online Purchase,0.0,4249.44,0,Legitimate Transaction,Low,0,3359.42,2025-03-04,648.0
2025-03-15,2207.99,POS Purchase,2207.99,0.0,0,Legitimate Transaction,Low,1,4249.44,2025-03-31,-384.0
2025-02-13,637.45,Transfer,0.0,637.45,0,Legitimate Transaction,Low,0,2207.99,2025-03-15,-720.0
2025-03-30,3669.1,Online Purchase,0.0,3669.1,0,Legitimate Transaction,Low,1,637.45,2025-02-13,1080.0
2025-03-21,4789.33,Online Purchase,0.0,4789.33,0,Legitimate Transaction,Low,0,3669.1,2025-03-30,-216.0
2025-01-29,3543.23,POS Purchase,0.0,3543.23,0,Legitimate Transaction,Low,0,4789.33,2025-03-21,-1224.0
2025-01-04,1456.11,Cash Withdrawal,0.0,1456.11,0,Legitimate Transaction,Low,1,3543.23,2025-01-29,-600.0
2025-01-06,35.35,Bill Payment,35.35,0.0,0,Legitimate Transaction,Low,0,1456.11,2025-01-04,48.0
2025-02-22,1537.13,Cash Withdrawal,0.0,1537.13,0,Legitimate Transaction,Low,1,35.35,2025-01-06,1128.0
2025-01-05,288.68,Online Purchase,288.68,0.0,0,Legitimate Transaction,Low,1,1537.13,2025-02-22,-1152.0
2025-02-15,2640.59,Online Purchase,0.0,2640.59,0,Legitimate Transaction,Low,1,288.68,2025-01-05,984.0
2025-03-17,3680.95,Cash Withdrawal,3680.95,0.0,0,Legitimate Transaction,Low,0,2640.59,2025-02-15,720.0
2025-02-24,4446.05,POS Purchase,0.0,4446.05,0,Legitimate Transaction,Low,0,3680.95,2025-03-17,-504.0
2025-03-29,2597.23,Transfer,0.0,2597.23,0,Legitimate Transaction,Low,1,4446.05,2025-02-24,792.0
2025-02-11,4459.49,Bill Payment,0.0,4459.49,0,Legitimate Transaction,Low,0,2597.23,2025-03-29,-1104.0
2025-03-17,2021.2,POS Purchase,0.0,2021.2,0,Legitimate Transaction,Low,0,4459.49,2025-02-11,816.0
2025-01-20,2844.08,POS Purchase,0.0,2844.08,0,Legitimate Transaction,Low,0,2021.2,2025-03-17,-1344.0
2025-02-15,1443.34,Online Purchase,0.0,1443.34,0,Legitimate Transaction,Low,1,2844.08,2025-01-20,624.0
2025-02-20,4073.58,Online Purchase,4073.58,0.0,0,Legitimate Transaction,Low,0,1443.34,2025-02-15,120.0
2025-01-21,1694.65,Bill Payment,1694.65,0.0,0,Legitimate Transaction,Low,0,4073.58,2025-02-20,-720.0
